title,url,url2
"Woman Under the Influence, A (1974)",/en/subtitles/en-woman-under-the-influence-a-1974/7Jwg/download,/en/subtitles/en-woman-under-the-influence-a-1974/7Jwg/download
,,
Solyaris (1972),/en/subtitles/en-solyaris-1972/s3MS/download,/en/subtitles/en-solyaris-1972/s3MS/download
"Texas Chain Saw Massacre, The (1974)",/en/subtitles/en-texas-chain-saw-massacre-the-1974/6uY4/download,/en/subtitles/en-texas-chain-saw-massacre-the-1974/6uY4/download
"Homecoming: A Christmas Story, The (1971)",/en/subtitles/en-homecoming-a-christmas-story-the-1971/AHE5/download,/en/subtitles/en-homecoming-a-christmas-story-the-1971/AHE5/download
,,
,,
,,
Perceval le Gallois (1979),/en/subtitles/en-perceval-le-gallois-1979/1qwG/download,/en/subtitles/en-perceval-le-gallois-1979/1qwG/download
Buffet froid (1979),/en/subtitles/en-buffet-froid-1979/S4YC/download,/en/subtitles/en-buffet-froid-1979/S4YC/download
Préparez vos mouchoirs (1978),/en/subtitles/en-preparez-vos-mouchoirs-1978/cmgD/download,/en/subtitles/en-preparez-vos-mouchoirs-1978/cmgD/download
"Cage aux folles, La (1978)",/en/subtitles/en-cage-aux-folles-la-1978/V8E/download,/en/subtitles/en-cage-aux-folles-la-1978/V8E/download
"Espíritu de la colmena, El (1973)",/en/subtitles/en-espiritu-de-la-colmena-el-1973/6Fgy/download,/en/subtitles/en-espiritu-de-la-colmena-el-1973/6Fgy/download
"Paper Chase, The (1973)",/en/subtitles/en-paper-chase-the-1973/sEcL/download,/en/subtitles/en-paper-chase-the-1973/sEcL/download
,,
"In-Laws, The (1979)",/en/subtitles/en-in-laws-the-1979/f7kC/download,/en/subtitles/en-in-laws-the-1979/f7kC/download
Superman (1978),/en/subtitles/en-superman-1978/oKkW/download,/en/subtitles/en-superman-1978/oKkW/download
"Wanderers, The (1979)",/en/subtitles/en-wanderers-the-1979/URQH/download,/en/subtitles/en-wanderers-the-1979/URQH/download
"Private Life of Sherlock Holmes, The (1970)",/en/subtitles/en-private-life-of-sherlock-holmes-the-1970/Nu8x/download,/en/subtitles/en-private-life-of-sherlock-holmes-the-1970/Nu8x/download
"Last Picture Show, The (1971)",/en/subtitles/en-last-picture-show-the-1971/aOgU/download,/en/subtitles/en-last-picture-show-the-1971/aOgU/download
"Man Who Knew Too Much, The (1956)",/en/subtitles/en-man-who-knew-too-much-the-1956/iW0R/download,/en/subtitles/en-man-who-knew-too-much-the-1956/iW0R/download
"Hill, The (1965)",/en/subtitles/en-hill-the-1965/aZsq/download,/en/subtitles/en-hill-the-1965/jNE/download
"Hard Day's Night, A (1964)",/en/subtitles/en-hard-day%27s-night-a-1964/H20L/download,/en/subtitles/en-hard-day%27s-night-a-1964/H20L/download
Ladri di biciclette (1948),/en/subtitles/en-ladri-di-biciclette-1948/VGYB/download,/en/subtitles/en-ladri-di-biciclette-1948/VGYB/download
,,
"Homme qui aimait les femmes, L' (1977)",/en/subtitles/en-homme-qui-aimait-les-femmes-l%27-1977/vpg/download,/en/subtitles/en-homme-qui-aimait-les-femmes-l%27-1977/vpg/download
"Dentellière, La (1977)",/en/subtitles/en-dentelliere-la-1977/4PoB/download,/en/subtitles/en-dentelliere-la-1977/4PoB/download
Cet obscur objet du désir (1977),,/en/subtitles/en-cet-obscur-objet-du-desir-1977/G3UH/download
"Locataire, Le (1976)",/en/subtitles/en-locataire-le-1976/s3wB/download,/en/subtitles/en-locataire-le-1976/s3wB/download
"Jouet, Le (1976)",/en/subtitles/en-jouet-le-1976/yHwq/download,/en/subtitles/en-jouet-le-1976/yHwq/download
"Argent de poche, L' (1976)",/en/subtitles/en-argent-de-poche-l%27-1976/njs/download,/en/subtitles/en-argent-de-poche-l%27-1976/njs/download
"Vieux fusil, Le (1975)",/en/subtitles/en-vieux-fusil-le-1975/aqIK/download,/en/subtitles/en-vieux-fusil-le-1975/aqIK/download
,,
Que la fête commence... (1974),,/en/subtitles/en-que-la-fete-commence-1974/0bE_/download
"Important c'est d'aimer, L' (1975)",/en/subtitles/en-important-c%27est-d%27aimer-l%27-1975/3ogH/download,/en/subtitles/en-important-c%27est-d%27aimer-l%27-1975/3ogH/download
"Histoire d'Adèle H., L' (1975)",/en/subtitles/en-histoire-d%27adele-h-l%27-1975/MI0G/download,/en/subtitles/en-histoire-d%27adele-h-l%27-1975/MI0G/download
"Cousin, cousine (1975)",/en/subtitles/en-cousin-cousine-1975/1g0J/download,/en/subtitles/en-cousin-cousine-1975/1g0J/download
"Valseuses, Les (1974)",/en/subtitles/en-valseuses-les-1974/j4I/download,/en/subtitles/en-valseuses-les-1974/j4I/download
Toute une vie (1974),/en/subtitles/en-toute-une-vie-1974/3R0C/download,/en/subtitles/en-toute-une-vie-1974/3R0C/download
,,
Lacombe Lucien (1974),/en/subtitles/en-lacombe-lucien-1974/I3sC/download,/en/subtitles/en-lacombe-lucien-1974/I3sC/download
"Fantôme de la liberté, Le (1974)",/en/subtitles/en-fantome-de-la-liberte-le-1974/sisC/download,/en/subtitles/en-fantome-de-la-liberte-le-1974/sisC/download
Céline et Julie vont en bateau (1974),/en/subtitles/en-celine-et-julie-vont-en-bateau-1974/UKwE/download,/en/subtitles/en-celine-et-julie-vont-en-bateau-1974/UKwE/download
"Friends of Eddie Coyle, The (1973)",/en/subtitles/en-friends-of-eddie-coyle-the-1973/TwQJ/download,/en/subtitles/en-friends-of-eddie-coyle-the-1973/u_QI/download
"Sugarland Express, The (1974)",/en/subtitles/en-sugarland-express-the-1974/imcT/download,/en/subtitles/en-sugarland-express-the-1974/imcT/download
Viskningar och rop (1972),/en/subtitles/en-viskningar-och-rop-1972/29s/download,/en/subtitles/en-viskningar-och-rop-1972/29s/download
Nybyggarna (1972),/en/subtitles/en-nybyggarna-1972/lYkK/download,/en/subtitles/en-nybyggarna-1972/lYkK/download
Utvandrarna (1971),/en/subtitles/en-utvandrarna-1971/-F0H/download,/en/subtitles/en-utvandrarna-1971/-F0H/download
"Hot Rock, The (1972)",/en/subtitles/en-hot-rock-the-1972/EMYI/download,/en/subtitles/en-hot-rock-the-1972/EMYI/download
"General, The (1927)",/en/subtitles/en-general-the-1927/K8Ut/download,/en/subtitles/en-general-the-1927/K8Ut/download
The First Great Train Robbery (1979),/en/subtitles/en-the-first-great-train-robbery-1979/Y6M1/download,/en/subtitles/en-the-first-great-train-robbery-1979/Y6M1/download
"Sjunde inseglet, Det (1957)",/en/subtitles/en-sjunde-inseglet-det-1957/HQYJ/download,/en/subtitles/en-sjunde-inseglet-det-1957/HQYJ/download
,,
Belle de jour (1967),/en/subtitles/en-belle-de-jour-1967/NAcJ/download,/en/subtitles/en-belle-de-jour-1967/NAcJ/download
"Christmas Carol, A (1938)",/en/subtitles/en-christmas-carol-a-1938/3044/download,/en/subtitles/en-christmas-carol-a-1938/3044/download
"Planète sauvage, La (1973)",/en/subtitles/en-planete-sauvage-la-1973/lAYN/download,/en/subtitles/en-planete-sauvage-la-1973/lAYN/download
La nuit américaine (1973),/en/subtitles/en-la-nuit-americaine-1973/DYEk/download,/en/subtitles/en-la-nuit-americaine-1973/DYEk/download
"Grande bouffe, La (1973)",/en/subtitles/en-grande-bouffe-la-1973/LuM/download,/en/subtitles/en-grande-bouffe-la-1973/LuM/download
État de siège (1973),/en/subtitles/en-etat-de-siege-1973/DokD/download,/en/subtitles/en-etat-de-siege-1973/DokD/download
