title,year,mpaa_rating,imdb_rating,imdb_ratings_total,imdb_popularity,imdb_user_reviews_total,imdb_critic_reviews_total,runtime,genre,language,country,release_date,production_co,color,description,poster_image,director,cast,budget,gross_usa_weekend,gross_usa,gross_worldwide
"Paris, Texas",1984,R,8.1,"65,728","2,905",187,85,145,Drama,English,West Germany,23 August 1984 (UK),Road Movies Filmproduktion,Color,"A man wanders out of the desert after a four year absence. His brother finds him, and together they return to L.A. to reunite the man with his young son. Soon after, he and the boy set out to locate the mother of the child, who left shortly after the man disappeared.","https://ia.media-imdb.com/images/M/MV5BM2RjMmU3ZWItYzBlMy00ZmJkLWE5YzgtNTVkODdhOWM3NGZhXkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_UX182_CR0,0,182,268_AL_.jpg",Wim Wenders,"Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,Aurore Clément,Hunter Carson,Bernhard Wicki,Sam Berry,Claresie Mobley,Viva,Edward Fayton,Socorro Valdez,Justin Hogg,Tom Farrell,John Lurie,Jeni Vici","£1,162,000","$22,709","$2,181,987",
The Best Years of Our Lives,1946,Not Rated,8.1,"49,615",,252,110,170,"Drama, Romance, War",English,USA,17 June 1947 (Argentina),"Samuel Goldwyn Company, The", Black and White,"The story concentrates on the social re-adjustment of three World War II servicemen, each from a different station of society. Al Stephenson returns to an influential banking position, but finds it hard to reconcile his loyalties to ex-servicemen with new commercial realities. Fred Derry is an ordinary working man who finds it difficult to hold down a job or pick up the threads of his marriage. Having had both hands burnt off during the war, Homer Parrish is unsure that his fiancée's feelings are still those of love and not those of pity. Each of the veterans faces a crisis upon his arrival, and each crisis is a microcosm of the experiences of many American warriors who found an alien world awaiting them when they came marching home.","https://ia.media-imdb.com/images/M/MV5BY2RmNTRjYzctODI4Ni00MzQyLWEyNTAtNjU0N2JkMTNhNjJkXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",William Wyler,"Myrna Loy,Fredric March,Dana Andrews,Teresa Wright,Virginia Mayo,Cathy O'Donnell,Hoagy Carmichael,Harold Russell,Gladys George,Roman Bohnen,Ray Collins,Minna Gombell,Walter Baldwin,Steve Cochran,Dorothy Adams","$2,100,000",,"$23,650,000","$44,309,982"
The Help,2011,PG-13,8.1,"368,309",613,490,383,146,Drama,English,USA,10 August 2011 (USA),DreamWorks,Color,"Set in Mississippi during the 1960s, Skeeter (Stone) is a southern society girl who returns from college determined to become a writer, but turns her friends' lives -- and a Mississippi town -- upside down when she decides to interview the black women who have spent their lives taking care of prominent southern families. Aibileen (Davis), Skeeter's best friend's housekeeper, is the first to open up -- to the dismay of her friends in the tight-knit black community. Despite Skeeter's life-long friendships hanging in the balance, she and Aibileen continue their collaboration and soon more women come forward to tell their stories -- and as it turns out, they have a lot to say. Along the way, unlikely friendships are forged and a new sisterhood emerges, but not before everyone in town has a thing or two to say themselves when they become unwittingly -- and unwillingly -- caught up in the changing times.","https://ia.media-imdb.com/images/M/MV5BMTM5OTMyMjIxOV5BMl5BanBnXkFtZTcwNzU4MjIwNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",Tate Taylor,"Emma Stone,Viola Davis,Bryce Dallas Howard,Octavia Spencer,Jessica Chastain,Ahna O'Reilly,Allison Janney,Anna Camp,Eleanor Henry,Emma Henry,Chris Lowell,Cicely Tyson,Mike Vogel,Sissy Spacek,Brian Kerwin","$25,000,000","$26,044,590","$169,708,112","$216,639,112"
In the Mood for Love,2000,PG,8.1,"95,461","2,602",370,133,98,"Drama, Romance",Cantonese,Hong Kong,9 March 2001 (USA),Block 2 Pictures,Color,"Set in Hong Kong, 1962, Chow Mo-Wan is a newspaper editor who moves into a new building with his wife. At the same time, Su Li-zhen, a beautiful secretary and her executive husband also move in to the crowded building. With their spouses often away, Chow and Li-zhen spend most of their time together as friends. They have everything in common from noodle shops to martial arts. Soon, they are shocked to discover that their spouses are having an affair. Hurt and angry, they find comfort in their growing friendship even as they resolve not to be like their unfaithful mates.","https://ia.media-imdb.com/images/M/MV5BYjVhMTE3YzEtOGEwYS00NjFmLWFjYzAtMGVjNjY3YWY4OTJhL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",Kar-Wai Wong,"Maggie Cheung,Tony Chiu-Wai Leung,Ping Lam Siu,Tung Cho 'Joe' Cheung,Rebecca Pan,Kelly Lai Chen,Man-Lei Chan,Szu-Ying Chien,Roy Cheung,Paulyn Sun,Po-chun Chow,Kam-Wah Koo,Hsien Yu",,"$113,280","$2,734,044,",
Jaws,1975,PG,8.0,"476,553",305,"1,044",386,124,"Adventure, Drama, Thriller",English,USA,20 June 1975 (USA),Zanuck/Brown Productions,Color,"It's a hot summer on Amity Island, a small community whose main business is its beaches. When new Sheriff Martin Brody discovers the remains of a shark attack victim, his first inclination is to close the beaches to swimmers. This doesn't sit well with Mayor Larry Vaughn and several of the local businessmen. Brody backs down to his regret as that weekend a young boy is killed by the predator. The dead boy's mother puts out a bounty on the shark and Amity is soon swamped with amateur hunters and fisherman hoping to cash in on the reward. A local fisherman with much experience hunting sharks, Quint, offers to hunt down the creature for a hefty fee. Soon Quint, Brody and Matt Hooper from the Oceanographic Institute are at sea hunting the Great White shark. As Brody succinctly surmises after their first encounter with the creature, they're going to need a bigger boat.","https://ia.media-imdb.com/images/M/MV5BMmVmODY1MzEtYTMwZC00MzNhLWFkNDMtZjAwM2EwODUxZTA5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",Steven Spielberg,"Roy Scheider,Robert Shaw,Richard Dreyfuss,Lorraine Gary,Murray Hamilton,Carl Gottlieb,Jeffrey Kramer,Susan Backlinie,Jonathan Filley,Ted Grossman,Chris Rebello,Jay Mello,Lee Fierro,Jeffrey Voorhees,Craig Kingsbury","$8,000,000","$7,061,513","$260,000,000","$470,653,000"
8,1963,Not Rated,8.1,"93,428","3,384",236,106,138,Drama,Italian,Italy,25 June 1963 (USA),Cineriz, Black and White,"Guido is a film director, trying to relax after his last big hit. He can't get a moment's peace, however, with the people who have worked with him in the past constantly looking for more work. He wrestles with his conscience, but is unable to come up with a new idea. While thinking, he starts to recall major happenings in his life, and all the women he has loved and left. An autobiographical film of Fellini, about the trials and tribulations of film making.","https://ia.media-imdb.com/images/M/MV5BMTQ4MTA0NjEzMF5BMl5BanBnXkFtZTgwMDg4NDYxMzE@._V1_UY268_CR5,0,182,268_AL_.jpg",Federico Fellini,"Marcello Mastroianni,Claudia Cardinale,Anouk Aimée,Sandra Milo,Rossella Falk,Barbara Steele,Madeleine Lebeau,Caterina Boratto,Eddra Gale,Guido Alberti,Mario Conocchia,Bruno Agostini,Cesarino Miceli Picardi,Jean Rougeul,Mario Pisu",,"$11,947","$50,690,",
Annie Hall,1977,PG,8.0,"225,647","1,754",507,138,93,"Comedy, Romance",English,USA,20 April 1977 (USA),Jack Rollins & Charles H. Joffe Productions,Color,"Alvy Singer, a forty year old twice divorced, neurotic, intellectual Jewish New York stand-up comic, reflects on the demise of his latest relationship, to Annie Hall, an insecure, flighty, Midwestern WASP aspiring nightclub singer. Unlike his previous relationships, Alvy believed he may have worked out all the issues in his life through fifteen years of therapy to make this relationship with Annie last, among those issues being not wanting to date any woman that would want to date him, and thus subconsciously pushing those women away. Alvy not only reviews the many ups and many downs of their relationship, but also reviews the many facets of his makeup that led to him starting to date Annie. Those facets include growing up next to Coney Island in Brooklyn, being attracted to the opposite sex for as long as he can remember, and enduring years of Jewish guilt with his constantly arguing parents.","https://ia.media-imdb.com/images/M/MV5BZDg1OGQ4YzgtM2Y2NS00NjA3LWFjYTctMDRlMDI3NWE1OTUyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX182_CR0,0,182,268_AL_.jpg",Woody Allen,"Woody Allen,Diane Keaton,Tony Roberts,Carol Kane,Paul Simon,Shelley Duvall,Janet Margolin,Colleen Dewhurst,Christopher Walken,Donald Symington,Helen Ludlam,Mordecai Lawner,Joan Neuman,Jonathan Munk,Ruth Volner","$4,000,000",,"$39,200,000",
Dead Poets Society,1989,PG,8.1,"329,159",811,526,93,128,"Comedy, Drama",English,USA,9 June 1989 (USA),Touchstone Pictures,Color,"Painfully shy Todd Anderson has been sent to the school where his popular older brother was valedictorian. His roommate, Neil Perry, although exceedingly bright and popular, is very much under the thumb of his overbearing father. The two, along with their other friends, meet Professor Keating, their new English teacher, who tells them of the Dead Poets Society, and encourages them to go against the status quo. Each does so in his own way, and is changed for life.","https://ia.media-imdb.com/images/M/MV5BOGYwYWNjMzgtNGU4ZC00NWQ2LWEwZjUtMzE1Zjc3NjY3YTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",Peter Weir,"Robin Williams,Robert Sean Leonard,Ethan Hawke,Josh Charles,Gale Hansen,Dylan Kussman,Allelon Ruggiero,James Waterston,Norman Lloyd,Kurtwood Smith,Carla Belver,Leon Pownall,George Martin,Joe Aufiery,Matt Carey","$16,400,000","$340,456","$95,860,116","$140,000,000"
The Wizard of Oz,1939,PG,8.0,"331,387",769,578,220,102,"Adventure, Family, Fantasy, Musical",English,USA,25 August 1939 (USA),Metro-Goldwyn-Mayer (MGM), Black and White,"In this charming film based on the popular L. Frank Baum stories, Dorothy and her dog Toto are caught in a tornado's path and somehow end up in the land of Oz. Here she meets some memorable friends and foes in her journey to meet the Wizard of Oz who everyone says can help her return home and possibly grant her new friends their goals of a brain, heart and courage.","https://ia.media-imdb.com/images/M/MV5BNjUyMTc4MDExMV5BMl5BanBnXkFtZTgwNDg0NDIwMjE@._V1_UX182_CR0,0,182,268_AL_.jpg",Victor Fleming,"Judy Garland,Frank Morgan,Ray Bolger,Bert Lahr,Jack Haley,Billie Burke,Margaret Hamilton,Charley Grapewin,Pat Walshe,Clara Blandick,Terry,The Singer Midgets","$2,800,000","$5,354,311","$22,202,612,",
Groundhog Day,1993,PG,8.0,"507,503","1,500",667,164,101,"Comedy, Fantasy, Romance",English,USA,12 February 1993 (USA),Columbia Pictures Corporation,Color,"A weather man is reluctantly sent to cover a story about a weather forecasting ""rat"" (as he calls it). This is his fourth year on the story, and he makes no effort to hide his frustration. On awaking the 'following' day he discovers that it's Groundhog Day again, and again, and again. First he uses this to his advantage, then comes the realisation that he is doomed to spend the rest of eternity in the same place, seeing the same people do the same thing EVERY day.","https://ia.media-imdb.com/images/M/MV5BZWIxNzM5YzQtY2FmMS00Yjc3LWI1ZjUtNGVjMjMzZTIxZTIxXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",Harold Ramis,"Bill Murray,Andie MacDowell,Chris Elliott,Stephen Tobolowsky,Brian Doyle-Murray,Marita Geraghty,Angela Paton,Rick Ducommun,Rick Overton,Robin Duke,Carol Bivins,Willie Garson,Ken Hudson Campbell,Les Podewell,Rod Sell","$14,600,000","$14,652,108","$70,906,973",
La Haine,1995,Not Rated,8.1,"123,404","3,474",180,111,98,"Crime, Drama",French,France,23 February 1996 (USA),Canal+, Black and White,"The film follows three young men and their time spent in the French suburban ""ghetto,"" over a span of twenty-four hours. Vinz, a Jew, Saïd, an Arab, and Hubert, a black boxer, have grown up in these French suburbs where high levels of diversity coupled with the racist and oppressive police force have raised tensions to a critical breaking point. During the riots that took place a night before, a police officer lost his handgun in the ensuing madness, only to leave it for Vinz to find. Now, with a newfound means to gain the respect he deserves, Vinz vows to kill a cop if his friend Abdel dies in the hospital, due the beating he received while in police custody.","https://ia.media-imdb.com/images/M/MV5BNDNiOTA5YjktY2Q0Ni00ODgzLWE5MWItNGExOWRlYjY2MjBlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY268_CR3,0,182,268_AL_.jpg",Mathieu Kassovitz,"Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Abdel Ahmed Ghili,Solo,Joseph Momo,Héloïse Rauth,Rywka Wajsbrot,Olga Abrego,Laurent Labasse,Choukri Gabteni,Nabil Ben Mhamed,Benoît Magimel,Médard Niang,Arash Mansour","€2,590,000",,"$309,811",
The Terminator,1984,R,8.0,"683,644",655,738,215,107,"Action, Sci-Fi",English,UK,26 October 1984 (USA),Hemdale,Color,"A cyborg is sent from the future on a deadly mission. He has to kill Sarah Connor, a young woman whose life will have a great significance in years to come. Sarah has only one protector - Kyle Reese - also sent from the future. The Terminator uses his exceptional intelligence and strength to find Sarah, but is there any way to stop the seemingly indestructible cyborg ?","https://ia.media-imdb.com/images/M/MV5BODE1MDczNTUxOV5BMl5BanBnXkFtZTcwMTA0NDQyNA@@._V1_UX182_CR0,0,182,268_AL_.jpg",James Cameron,"Arnold Schwarzenegger,Michael Biehn,Linda Hamilton,Paul Winfield,Lance Henriksen,Rick Rossovich,Bess Motta,Earl Boen,Dick Miller,Shawn Schepps,Bruce M. Kerner,Franco Columbu,Bill Paxton,Brad Rearden,Brian Thompson","$6,400,000","$4,020,663","$38,400,000","$40,000,000"
