title,year,mpaa_rating,imdb_rating,imdb_ratings_total,imdb_popularity,imdb_user_reviews_total,imdb_critic_reviews_total,runtime,genre,language,country,release_date,production_co,color,description,poster_image,director,cast,budget,gross_usa_weekend,gross_usa,gross_worldwide
The Shawshank Redemption,1994,R,9.3,"1,941,178",105,"5,295",215,142,"Crime, Drama",English,USA,14 October 1994 (USA),Castle Rock Entertainment,Color,"Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.","https://ia.media-imdb.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg",Frank Darabont,"Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Clancy Brown,Gil Bellows,Mark Rolston,James Whitmore,Jeffrey DeMunn,Larry Brandenburg,Neil Giuntoli,Brian Libby,David Proval,Joseph Ragno,Jude Ciccolella","$25,000,000","$727,326","$28,341,469","$58,500,000"
Code Name: K.O.Z.,2015,Not Rated,1.6,"26,197","3,917",69,2,114,"Crime, Mystery",Turkish,Turkey,13 February 2015 (Turkey),Parantez Yapim,Color,"A look at the 17-25 December 2013 corruption scandal in Turkey, from the viewpoint of the Erdogan government.","https://ia.media-imdb.com/images/M/MV5BMDhkOTQzN2UtZDJhMi00ZTkzLWJmYjctNmE0MjdmZDlmYjJlXkEyXkFqcGdeQXVyNTQzNzQ5OTE@._V1_UY268_CR2,0,182,268_AL_.jpg",Celal Çimen,"Cem Kurtoglu,Hakan Ural,Hazim Körmükcü,Tolga Karel,Günay Musayeva,Yilmaz Gruda,Nezih Tuncay,Iskender Bagcilar,Mehmet Çepiç,Turgay Tanülkü,Özcan Özdemir,Remzi Evren,Ferhat Yilmaz,Yesim Aliç,Tayfun Sav",,,,
A Quiet Place,2018,PG-13,8.1,"59,460",1,809,319,90,"Drama, Horror, Sci-Fi, Thriller",English,USA,6 April 2018 (USA),Platinum Dunes,Color,"Two parents do what it takes to keep their children and soon to be newborn safe in a world full of creatures hunting every sound they can hear. Not a sound can be heard from the family hiding in silence, but all it takes is one noise and everything can go wrong.","https://ia.media-imdb.com/images/M/MV5BMjI0MDMzNTQ0M15BMl5BanBnXkFtZTgwMTM5NzM3NDM@._V1_UX182_CR0,0,182,268_AL_.jpg",John Krasinski,"Emily Blunt,John Krasinski,Millicent Simmonds,Noah Jupe,Cade Woodward,Leon Russom","$17,000,000","$50,203,562","$105,778,340,","$162,583,889,"
Life Is Beautiful,1997,PG-13,8.6,"504,076",579,"1,132",154,116,"Comedy, Drama, War",Italian,Italy,12 February 1999 (USA),Melampo Cinematografica,Color,"In 1930s Italy, a carefree Jewish book keeper named Guido starts a fairy tale life by courting and marrying a lovely woman from a nearby city. Guido and his wife have a son and live happily together until the occupation of Italy by German forces. In an attempt to hold his family together and help his son survive the horrors of a Jewish Concentration Camp, Guido imagines that the Holocaust is a game and that the grand prize for winning is a tank.","https://ia.media-imdb.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",Roberto Benigni,"Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,Sergio Bini Bustric,Marisa Paredes,Horst Buchholz,Lidia Alfonsi,Giuliana Lojodice,Amerigo Fontani,Pietro De Silva,Francesco Guzzo,Raffaella Lebboroni,Claudio Alfonsi,Gil Baroni","$20,000,000","$118,920","$57,598,247,","$229,163,264,"
It's a Wonderful Life,1946,PG,8.6,"327,102","1,630",779,225,130,"Drama, Family, Fantasy",English,USA,7 January 1947 (USA),Liberty Films (II),Color,"George Bailey has spent his entire life giving of himself to the people of Bedford Falls. He has always longed to travel but never had the opportunity in order to prevent rich skinflint Mr. Potter from taking over the entire town. All that prevents him from doing so is George's modest building and loan company, which was founded by his generous father. But on Christmas Eve, George's Uncle Billy loses the business's $8,000 while intending to deposit it in the bank. Potter finds the misplaced money and hides it from Billy. When the bank examiner discovers the shortage later that night, George realizes that he will be held responsible and sent to jail and the company will collapse, finally allowing Potter to take over the town. Thinking of his wife, their young children, and others he loves will be better off with him dead, he contemplates suicide. But the prayers of his loved ones result in a gentle angel named Clarence coming to earth to help George, with the promise of earning his ...","https://ia.media-imdb.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_UY268_CR1,0,182,268_AL_.jpg",Frank Capra,"James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,Henry Travers,Beulah Bondi,Frank Faylen,Ward Bond,Gloria Grahame,H.B. Warner,Frank Albertson,Todd Karns,Samuel S. Hinds,Mary Treen,Virginia Patton","$3,180,000",,"$7,270,000,",
The Silence of the Lambs,1991,R,8.6,"1,038,053",267,"1,002",205,118,"Crime, Drama, Thriller",English,USA,14 February 1991 (USA),Strong Heart/Demme Production,Color,"FBI trainee Clarice Starling works hard to advance her career, while trying to hide/put behind her West Virginia roots, of which if some knew, would automatically classify her as being backward or white trash. After graduation, she aspires to work in the agency's Behavioral Science Unit under the leadership of Jack Crawford. While she is still a trainee, Crawford asks her to question Dr. Hannibal Lecter, a psychiatrist imprisoned, thus far, for eight years in maximum security isolation for being a serial killer who cannibalized his victims. Clarice is able to figure out the assignment is to pick Lecter's brains to help them solve another serial murder case, that of someone coined by the media as Buffalo Bill, who has so far killed five victims, all located in the eastern US, all young women who are slightly overweight (especially around the hips), all who were drowned in natural bodies of water, and all who were stripped of large swaths of skin. She also figures that Crawford chose ...","https://ia.media-imdb.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",Jonathan Demme,"Jodie Foster,Lawrence A. Bonney,Kasi Lemmons,Lawrence T. Wrentz,Scott Glenn,Anthony Heald,Frankie Faison,Don Brockett,Frank Seals Jr.,Stuart Rudin,Anthony Hopkins,Maria Skorobogatov,Jeffrie Lane,Leib Lensky,George 'Red' Schwartz","$19,000,000","$13,766,814","$130,742,922","$272,742,922"
Se7en,1995,R,8.6,"1,185,073",168,"1,152",243,127,"Crime, Drama, Mystery, Thriller",English,USA,22 September 1995 (USA),Cecchi Gori Pictures,Color,A film about two homicide detectives' (,"https://ia.media-imdb.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",David Fincher,"Morgan Freeman,Andrew Kevin Walker,Kevin Spacey,Daniel Zacapa,Brad Pitt,Gwyneth Paltrow,John Cassini,Bob Mack,Peter Crombie,Reg E. Cathey,R. Lee Ermey,George Christy,Endre Hules,Hawthorne James,William Davidson","$33,000,000",,"$100,125,643","$327,311,859"
Star Wars: Episode IV - A New Hope,1977,PG,8.6,"1,048,695",307,"1,572",298,121,"Action, Adventure, Fantasy, Sci-Fi",English,USA,25 May 1977 (USA),Lucasfilm,Color,"The Imperial Forces, under orders from cruel Darth Vader, hold Princess Leia hostage in their efforts to quell the rebellion against the Galactic Empire. Luke Skywalker and Han Solo, captain of the Millennium Falcon, work together with the companionable droid duo R2-D2 and C-3PO to rescue the beautiful princess, help the Rebel Alliance and restore freedom and justice to the Galaxy.","https://ia.media-imdb.com/images/M/MV5BNzVlY2MwMjktM2E4OS00Y2Y3LWE3ZjctYzhkZGM3YzA1ZWM2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",George Lucas,"Mark Hamill,Harrison Ford,Carrie Fisher,Peter Cushing,Alec Guinness,Anthony Daniels,Kenny Baker,Peter Mayhew,David Prowse,Phil Brown,Shelagh Fraser,Jack Purvis,Alex McCrindle,Eddie Byrne,Drewe Henley","$11,000,000","$1,554,475","$322,740,140","$775,398,007,"
City of God,2002,R,8.6,"603,816",653,846,217,130,"Crime, Drama",Portuguese,Brazil,13 February 2004 (USA),O2 Filmes,Color,"Brazil, 1960s, City of God. The Tender Trio robs motels and gas trucks. Younger kids watch and learn well...too well. 1970s: Li'l Zé has prospered very well and owns the city. He causes violence and fear as he wipes out rival gangs without mercy. His best friend Bené is the only one to keep him on the good side of sanity. Rocket has watched these two gain power for years, and he wants no part of it. Yet he keeps getting swept up in the madness. All he wants to do is take pictures. 1980s: Things are out of control between the last two remaining gangs...will it ever end? Welcome to the City of God.","https://ia.media-imdb.com/images/M/MV5BMGU5OWEwZDItNmNkMC00NzZmLTk1YTctNzVhZTJjM2NlZTVmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg",Fernando Meirelles,"Alexandre Rodrigues,Leandro Firmino,Phellipe Haagensen,Douglas Silva,Jonathan Haagensen,Matheus Nachtergaele,Seu Jorge,Jefechander Suplino,Alice Braga,Emerson Gomes,Edson Oliveira,Michel de Souza,Roberta Rodrigues,Luis Otávio,Maurício Marques","$3,300,000","$114,442","$7,563,397,","$18,062,482,"
Seven Samurai,1954,Not Rated,8.7,"263,592","1,359",626,169,207,"Adventure, Drama",Japanese,Japan,19 November 1956 (USA),Toho Company, Black and White,"A veteran samurai, who has fallen on hard times, answers a village's request for protection from bandits. He gathers 6 other samurai to help him, and they teach the townspeople how to defend themselves, and they supply the samurai with three small meals a day. The film culminates in a giant battle when 40 bandits attack the village.","https://ia.media-imdb.com/images/M/MV5BMTc5MDY1MjU5MF5BMl5BanBnXkFtZTgwNDM2OTE4MzE@._V1_UY268_CR4,0,182,268_AL_.jpg",Akira Kurosawa,"Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,Kamatari Fujiwara,Daisuke Katô,Isao Kimura,Minoru Chiaki,Seiji Miyaguchi,Yoshio Kosugi,Bokuzen Hidari,Yoshio Inaba,Yoshio Tsuchiya,Kokuten Kôdô,Eijirô Tôno","$2,000,000","$21,830","$269,061,",
The Matrix,1999,R,8.7,"1,395,174",271,"3,838",323,136,"Action, Sci-Fi",English,USA,31 March 1999 (USA),Warner Bros.,Color,"Thomas A. Anderson is a man living two lives. By day he is an average computer programmer and by night a hacker known as Neo. Neo has always questioned his reality, but the truth is far beyond his imagination. Neo finds himself targeted by the police when he is contacted by Morpheus, a legendary computer hacker branded a terrorist by the government. Morpheus awakens Neo to the real world, a ravaged wasteland where most of humanity have been captured by a race of machines that live off of the humans' body heat and electrochemical energy and who imprison their minds within an artificial reality known as the Matrix. As a rebel against the machines, Neo must return to the Matrix and confront the agents: super-powerful computer programs devoted to snuffing out Neo and the entire human rebellion.","https://ia.media-imdb.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",Lana Wachowski,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,Gloria Foster,Joe Pantoliano,Marcus Chong,Julian Arahanga,Matt Doran,Belinda McClory,Anthony Ray Parker,Paul Goddard,Robert Taylor,David Aston,Marc Aden Gray","$63,000,000","$27,788,331","$171,479,930","$463,517,383"
Goodfellas,1990,R,8.7,"838,028",286,"1,063",208,146,"Biography, Crime, Drama",English,USA,21 September 1990 (USA),Warner Bros.,Color,"Henry Hill might be a small time gangster, who may have taken part in a robbery with Jimmy Conway and Tommy De Vito, two other gangsters who might have set their sights a bit higher. His two partners could kill off everyone else involved in the robbery, and slowly start to think about climbing up through the hierarchy of the Mob. Henry, however, might be badly affected by his partners' success, but will he consider stooping low enough to bring about the downfall of Jimmy and Tommy?","https://ia.media-imdb.com/images/M/MV5BNThjMzczMjctZmIwOC00NTQ4LWJhZWItZDdhNTk5ZTdiMWFlXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX182_CR0,0,182,268_AL_.jpg",Martin Scorsese,"Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,Paul Sorvino,Frank Sivero,Tony Darrow,Mike Starr,Frank Vincent,Chuck Low,Frank DiLeo,Henny Youngman,Gina Mastrogiacomo,Catherine Scorsese,Charles Scorsese","$25,000,000","$6,368,901","$46,836,394",
One Flew Over the Cuckoo's Nest,1975,R,8.7,"774,885",498,816,153,133,Drama,English,USA,19 November 1975 (USA),Fantasy Films,Color,"McMurphy has a criminal past and has once again gotten himself into trouble and is sentenced by the court. To escape labor duties in prison, McMurphy pleads insanity and is sent to a ward for the mentally unstable. Once here, McMurphy both endures and stands witness to the abuse and degradation of the oppressive Nurse Ratched, who gains superiority and power through the flaws of the other inmates. McMurphy and the other inmates band together to make a rebellious stance against the atrocious Nurse.","https://ia.media-imdb.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",Milos Forman,"Michael Berryman,Peter Brocco,Dean R. Brooks,Alonzo Brown,Scatman Crothers,Mwako Cumbuka,Danny DeVito,William Duell,Josip Elic,Lan Fendors,Louise Fletcher,Nathan George,Ken Kenny,Mel Lambert,Sydney Lassick","$4,400,000","$99,761","$112,000,000",
The Lord of the Rings: The Two Towers,2002,PG-13,8.7,"1,254,444",351,"2,451",305,179,"Adventure, Drama, Fantasy",English,USA,18 December 2002 (USA),New Line Cinema,Color,"The continuing quest of Frodo and the Fellowship to destroy the One Ring. Frodo and Sam discover they are being followed by the mysterious Gollum. Aragorn, the Elf archer Legolas and Gimli the Dwarf encounter the besieged Rohan kingdom, whose once great King Theoden has fallen under Saruman's deadly spell.","https://ia.media-imdb.com/images/M/MV5BMDY0NmI4ZjctN2VhZS00YzExLTkyZGItMTJhOTU5NTg4MDU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY268_CR1,0,182,268_AL_.jpg",Peter Jackson,"Bruce Allpress,Sean Astin,John Bach,Sala Baker,Cate Blanchett,Orlando Bloom,Billy Boyd,Jed Brophy,Sam Comery,Brad Dourif,Calum Gittins,Bernard Hill,Bruce Hopkins,Paris Howe Strewe,Christopher Lee","$94,000,000","$62,007,528","$342,551,365,","$926,047,111,"
Inception,2010,PG-13,8.8,"1,699,043",176,"3,039",670,148,"Action, Adventure, Sci-Fi, Thriller",English,USA,16 July 2010 (USA),Warner Bros.,Color,"Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious during the dream state, when the mind is at its most vulnerable. Cobb's rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. Now Cobb is being offered a chance at redemption. One last job could give him his life back but only if he can accomplish the impossible - inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming.","https://ia.media-imdb.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UX182_CR0,0,182,268_AL_.jpg",Christopher Nolan,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Tom Hardy,Ken Watanabe,Dileep Rao,Cillian Murphy,Tom Berenger,Marion Cotillard,Pete Postlethwaite,Michael Caine,Lukas Haas,Tai-Li Lee,Claire Geare,Magnus Nolan","$160,000,000","$62,785,337","$292,576,195,","$825,532,764,"
Star Wars: Episode V - The Empire Strikes Back,1980,PG,8.8,"976,891",692,979,230,124,"Action, Adventure, Fantasy, Sci-Fi",English,USA,20 June 1980 (USA),Lucasfilm,Color,"Luke Skywalker, Han Solo, Princess Leia and Chewbacca face attack by the Imperial forces and its AT-AT walkers on the ice planet Hoth. While Han and Leia escape in the Millennium Falcon, Luke travels to Dagobah in search of Yoda. Only with the Jedi master's help will Luke survive when the dark side of the Force beckons him into the ultimate duel with Darth Vader.","https://ia.media-imdb.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",Irvin Kershner,"Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Anthony Daniels,David Prowse,Peter Mayhew,Kenny Baker,Frank Oz,Alec Guinness,Jeremy Bulloch,John Hollis,Jack Purvis,Des Webb,Clive Revill","$18,000,000","$6,415,804","$290,475,067,","$247,916,602"
Forrest Gump,1994,PG-13,8.8,"1,471,659",235,"1,630",145,142,"Drama, Romance",English,USA,6 July 1994 (USA),Paramount Pictures, Black and White,"Forrest Gump is a simple man with a low I.Q. but good intentions. He is running through childhood with his best and only friend Jenny. His 'mama' teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping-pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. However, this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny Curran, who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone.","https://ia.media-imdb.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR1,0,182,268_AL_.jpg",Robert Zemeckis,"Tom Hanks,Rebecca Williams,Sally Field,Michael Conner Humphreys,Harold G. Herthum,George Kelly,Bob Penny,John Randall,Sam Anderson,Margo Moorer,Ione M. Telech,Christine Seabrook,John Worsham,Peter Dobson,Siobhan Fallon Hogan","$55,000,000","$24,450,602","$330,252,182","$677,945,399"
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,8.8,"1,404,802",159,"5,125",319,178,"Adventure, Drama, Fantasy",English,New Zealand,19 December 2001 (USA),New Line Cinema,Color,"An ancient Ring thought lost for centuries has been found, and through a strange twist in fate has been given to a small Hobbit named Frodo. When Gandalf discovers the Ring is in fact the One Ring of the Dark Lord Sauron, Frodo must make an epic quest to the Cracks of Doom in order to destroy it! However he does not go alone. He is joined by Gandalf, Legolas the elf, Gimli the Dwarf, Aragorn, Boromir and his three Hobbit friends Merry, Pippin and Samwise. Through mountains, snow, darkness, forests, rivers and plains, facing evil and danger at every corner the Fellowship of the Ring must go. Their quest to destroy the One Ring is the only hope for the end of the Dark Lords reign!","https://ia.media-imdb.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX182_CR0,0,182,268_AL_.jpg",Peter Jackson,"Alan Howard,Noel Appleby,Sean Astin,Sala Baker,Sean Bean,Cate Blanchett,Orlando Bloom,Billy Boyd,Marton Csokas,Megan Edwards,Michael Elsworth,Mark Ferguson,Ian Holm,Christopher Lee,Lawrence Makoare","$93,000,000","$66,114,741","$315,544,750,","$871,530,324,"
Fight Club,1999,R,8.8,"1,555,492",284,"3,163",324,139,Drama,English,USA,15 October 1999 (USA),Fox 2000 Pictures,Color,A nameless first person narrator (,"https://ia.media-imdb.com/images/M/MV5BMzFjMWNhYzQtYTIxNC00ZWQ1LThiOTItNWQyZmMxNDYyMjA5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",David Fincher,"Edward Norton,Brad Pitt,Meat Loaf,Zach Grenier,Richmond Arquette,David Andrews,George Maguire,Eugenie Bondurant,Helena Bonham Carter,Christina Cabot,Sydney 'Big Dawg' Colston,Rachel Singer,Christie Cronenweth,Tim DeZarn,Ezra Buzzington","$63,000,000","$11,035,485","$37,030,102","$100,853,753"
The Touch of Satan,1971,PG,2.1,"2,528",,52,9,90,Horror,English,USA,23 August 1971 (USA),Stupendous Talking Pictures International,Color,"On his way to California, Jodie decides on a whim to make a brief side trip to a farm, where he meets and falls in love with Melissa, the proverbial farmer's daughter. Or so it seems. In between the overlong dramatic pauses, we learn that Melissa is in fact a 120-year-old witch, and her remarkably spry ""great-grandmother,"" Lucinda, is actually her sister, who has been pitchforking people to death in her spare time. When Lucinda murders a local policeman, things start to get real complicated for Jodie.","https://ia.media-imdb.com/images/M/MV5BODVhMjQ3YjctMDA0Zi00YWQwLWJiZDQtMDM5ZDE3YTZhOGZkXkEyXkFqcGdeQXVyNjA3OTI5MjA@._V1_UX182_CR0,0,182,268_AL_.jpg",Don Henderson,"Michael Berry,Emby Mellay,Lee Amber,Yvonne Winslow,Jeanne Gerson,Robert Easton,Lew Horn,Sharon Crabtree,John J. Fox,Hal K. Dawson,Frank Jansen,Ellen Bailey",,,,
Mitchell,1975,R,2.4,"4,009",,115,19,97,"Action, Crime, Drama, Thriller",English,USA,10 September 1975 (USA),Allied Artists Pictures,Color,"Joe Don Baker is Mitchell, a hard-nosed, soft-bellied cop with an affinity for porn and Schlitz. His latest assignment has him engaging in no-speed car chases, yelling at children, shooting at innocents and sloppily harassing Linda Evans.","https://ia.media-imdb.com/images/M/MV5BMjQxOTBjYzYtN2U5MS00MWQ3LWEyMmMtYWM3YzI4MjExNjhkXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_UX182_CR0,0,182,268_AL_.jpg",Andrew V. McLaglen,"Joe Don Baker,Martin Balsam,John Saxon,Linda Evans,Merlin Olsen,Morgan Paull,Harold J. Stone,Robert Phillips,Buck Young,Rayford Barnes,Todd Bass,Jerry Hardin,Lilyan McBride,Rob Narke,Sidney Clute",,,,
Time Chasers,1994,PG-13,2.3,"2,867",,86,6,89,Sci-Fi,English,USA,17 March 1994 (USA),Edgewood Entertainment,Color,"Nick creates a time machine out of an airplane and a Commodore-64, and shows it to his friends by taking them 50 years into the future. Nick sells the technology to Gen-Corp, a high-tech firm run by J.K. Robertson, whose office is in the mezzanine of a shopping mall. Robertson, however, turns out to be Evil, and uses the time machine to plunder the future. With the lives of himself and his friends at stake, Nick needs to use his time machine to travel a week back in time and convince himself not to give the demo to Robertson.","https://ia.media-imdb.com/images/M/MV5BZWVkNTczZDUtYjQ3Yi00NGQwLTg5MTMtOGMwNTFlMTI0MDFhXkEyXkFqcGdeQXVyMTgzOTE5MTY@._V1_UY268_CR11,0,182,268_AL_.jpg",David Giancola,"Matthew Bruch,Bonnie Pritchard,Peter Harrington,George Woodard,Michael J. Valentine,Jim Rohn,Ted Pendleton,Becky Fenton,Jack McGinnis,Martin Guigui,Peter Beckwith,Ilene Blackman,Daniel Nelson,Emily Nelson,Margaret Daly","$150,000",,,
Danes Without a Clue,1997,,2.1,"2,377",,10,,79,Comedy,Danish,Denmark,11 July 1997 (Denmark),Balboa Enterprise,Color,Two comedians set out to make their own exploitation video.,"https://ia.media-imdb.com/images/M/MV5BMTE5NjU0MjMzOV5BMl5BanBnXkFtZTYwMTE0NDI3._V1_UY268_CR4,0,182,268_AL_.jpg",Kasper Wedendahl,"Timm Vladimir,Gordon Kennedy,Berte Fischer-Hansen,Henrik Lykkegaard,Christian Grønvall,Camilla Bendix,Klaus Pagh,Peter Rygaard,Sofie Maria Ahlgren,Dan Zahle,Stig Günther,Ronald Lindkvist,Mikkel Smith Olsen,Søren Benthin,Per Rønholm",,,,
The Legend of Drona,2008,Not Rated,2.1,"2,116",,33,11,138,"Action, Adventure, Drama, Fantasy, Sci-Fi",Hindi,India,2 October 2008 (India),Milk & Honey Pictures,Color,"Orphaned, lonely and neglected Aditya grows up in Great Britain, living with his abusive aunt and cousin, Rajesh, and the abuse grows worse after the passing of his uncle. Aditya will soon find out that he is not alone in this world - he has a mother, Rani Jayati; a sweetheart in Sonia; he is watched by angels; and he also has a virtually indestructible arch-enemy - Riz Raizada, who had killed his father, the legendary Drona, to secure the secret of the Amrit Manthan - and is now all set to kill the Rani as well as Aditya himself.","https://ia.media-imdb.com/images/M/MV5BNjU2Njk5OTE0OF5BMl5BanBnXkFtZTgwMjg1NjcwMzE@._V1_UY268_CR4,0,182,268_AL_.jpg",Goldie Behl,"Jayshree Arora,Veer Arya,Abhishek Bachchan,Jaya Bhaduri,Priyanka Chopra,Tatána Fischerová,Gaurav Gupta,Vinay Jain,Karan Veer Mehra,Kay Kay Menon,Akhilendra Mishra,Navneet Nishan,Conan Stevens","$27,000,000","$237,647","$237,647,",
The Aztec Mummy Against the Humanoid Robot,1958,Approved,2.3,"2,060",,47,18,65,"Adventure, Horror, Sci-Fi",Spanish,Mexico,1959 (USA),Cinematográfica Calderón S.A., Black and White,A mad doctor builds a robot in order to steal a valuable Aztec treasure from a tomb guarded by a centuries-old living mummy.,"https://ia.media-imdb.com/images/M/MV5BYTAyODI0N2YtYzMxMi00MDZlLTk4MjctOWQ3YjQ3NTIwZWVjXkEyXkFqcGdeQXVyNTc4Njg5MjA@._V1_UY268_CR11,0,182,268_AL_.jpg",Rafael Portillo,"Ramón Gay,Rosita Arenas,Crox Alvarado,Luis Aceves Castañeda,Jorge Mondragón,Arturo Martínez,Emma Roldán,Julián de Meriche,Salvador Lozano,Jaime González Quiñones,Ángel Di Stefani,Adolfo Rojas,Jesús Murcielago Velázquez,Enrique Yáñez,Guillermo Hernández",,,,
Body in the Web,1960,Unrated,2.4,"3,304",,105,43,89,Horror,German,West Germany,March 1962 (USA),Intercontinental Film GmbH, Black and White,"En route to a show in Singapore, a troupe of beautiful dancers are stranded on a deserted island by a plane crash. Their routine of skinny-dipping and devising new skimpy outfits is interrupted when a radioactive spider bites their manager and turns him into a wild-eyed, furry-faced monster with three fangs and a passion for strangling.","https://ia.media-imdb.com/images/M/MV5BZmJmMWJlMmItYzdmNS00MWM2LThhNzQtNzdkOTUwMmY2YTEzXkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_UY268_CR5,0,182,268_AL_.jpg",Fritz Böttger,"Harald Maresch,Helga Franck,Alexander D'Arcy,Helga Neuner,Rainer Brandt,Dorothee Parker,Gerry Sammer,Eva Schauland,Helma Vandenberg,Elfie Wagner,Barbara Valentin,Walter Faber",,,,
Zombie Nightmare,1987,R,2.3,"2,737",,50,27,,"Fantasy, Horror",English,Canada,7 March 1988 (Canada),Gold-Gems Ltd.,Color,"After a young man is killed by a gang of rampant teenagers, he is resurrected by a voodoo priestess so he can avenge his death.","https://ia.media-imdb.com/images/M/MV5BOWM4ZDc1NWQtMjc3MS00YTYyLTg2MzgtNDY1ZDI1NmZjYzI1XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UY268_CR7,0,182,268_AL_.jpg",Jack Bravman,"Adam West,Jon Mikl Thor,Tia Carrere,Manuska Rigaud,Frank Dietz,Linda Singer,Tony Blauer,Mark Kulik,John Fasano,Francesca Bonacorsa,Jesse D'Angelo,Tracy Biddle,Alan Fisler,Hamish McEwan,Manon E. Turbide","$180,000",,,
