title,year,mpaa_rating,imdb_rating,imdb_ratings_total,imdb_popularity,imdb_user_reviews_total,imdb_critic_reviews_total,runtime,genre,language,country,release_date,production_co,color,description,poster_image,director,cast,budget,gross_usa_weekend,gross_usa,gross_worldwide
Avengers: Infinity War,2018,PG-13,,,2,,,149,"Action, Adventure, Fantasy, Sci-Fi",English,USA,27 April 2018 (USA),Marvel Studios,Color,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","https://ia.media-imdb.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_UX182_CR0,0,182,268_AL_.jpg",Anthony Russo,"Karen Gillan,Elizabeth Olsen,Tom Holland,Chadwick Boseman,Scarlett Johansson,Chris Evans,Chris Hemsworth,Josh Brolin,Sebastian Stan,Linda Cardellini,Pom Klementieff,Zoe Saldana,Robert Downey Jr.,Tom Hiddleston,Chris Pratt",,,,
Isle of Dogs,2018,PG-13,8.2,"16,023",13,132,229,101,"Animation, Adventure, Comedy, Drama, Fantasy, Sci-Fi",English,USA,13 April 2018 (USA),American Empirical Pictures,Color,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.","https://ia.media-imdb.com/images/M/MV5BMTYyOTUwNjAxM15BMl5BanBnXkFtZTgwODcyMzE0NDM@._V1_UX182_CR0,0,182,268_AL_.jpg",Wes Anderson,"Bryan Cranston,Koyu Rankin,Edward Norton,Bob Balaban,Bill Murray,Jeff Goldblum,Kunichi Nomura,Akira Takayama,Greta Gerwig,Frances McDormand,Akira Ito,Scarlett Johansson,Harvey Keitel,F. Murray Abraham,Yoko Ono",,"$1,615,269","$20,042,316,","$29,524,081,"
Pacific Rim: Uprising,2018,PG-13,6.0,"27,141",16,309,219,111,"Action, Adventure, Sci-Fi",English,USA,23 March 2018 (USA),Clear Angle Studios,Color,"Jake Pentecost, son of Stacker Pentecost, reunites with Mako Mori to lead a new generation of Jaeger pilots, including rival Lambert and 15-year-old hacker Amara, against a new Kaiju threat.","https://ia.media-imdb.com/images/M/MV5BMjI3Nzg0MTM5NF5BMl5BanBnXkFtZTgwOTE2MTgwNTM@._V1_UX182_CR0,0,182,268_AL_.jpg",Steven S. DeKnight,"John Boyega,Scott Eastwood,Cailee Spaeny,Burn Gorman,Charlie Day,Tian Jing,Jin Zhang,Adria Arjona,Rinko Kikuchi,Karan Brar,Wesley Wong,Ivanna Sakhno,Mackenyu,Lily Ji,Shyrley Rodriguez","$150,000,000","$28,116,535","$57,881,410,","$281,381,410,"
12 Strong,2018,R,6.7,"16,345",15,123,122,130,"Action, Drama, History, War",English,USA,19 January 2018 (USA),Alcon Entertainment,Color,"The True Story of the Army's Special Forces ""Green Berets"", who within weeks responded to the 9-11 attack. Green Berets, with the help of the 160th SOAR(A), took over the country and allowed other Special Forces and the rest of the conventional military to begin the more publicly visible war.","https://ia.media-imdb.com/images/M/MV5BNTEzMjk3NzkxMV5BMl5BanBnXkFtZTgwNjY2NDczNDM@._V1_UX182_CR0,0,182,268_AL_.jpg",Nicolai Fuglsig,"Chris Hemsworth,Michael Shannon,Michael Peña,Navid Negahban,Trevante Rhodes,Geoff Stults,Thad Luckinbill,Austin Hébert,Austin Stowell,Ben O'Toole,Kenneth Miller,Kenny Sheard,Jack Kesy,Rob Riggle,William Fichtner",,"$15,815,025","$45,495,662,","$35,159,610,"
Krypton            ,,TV-14,7.3,"5,204",23,87,8,45,"Action, Adventure, Drama, Sci-Fi",English,USA,21 March 2018 (USA),DC Entertainment,Color,"Set two generations before the destruction of the legendary Man of Steel's home planet, KRYPTON follows Superman's grandfather - whose House of El was ostracized and shamed - as he fights to redeem his family's honor and save his beloved world from chaos.","https://ia.media-imdb.com/images/M/MV5BMTkxNDM1NzkyNV5BMl5BanBnXkFtZTgwNjg2MzU4NDM@._V1_UX182_CR0,0,182,268_AL_.jpg",David S. Goyer,"Elliot Cowan,Shaun Sipos,Ann Ogbomo,Aaron Pierre,Rasmus Hardiker,Wallis Day,Blake Ritson,Ian McElhinney,Cameron Cuffe,Georgina Campbell,Colin Salmon",,,,
Tomb Raider,2018,PG-13,6.8,"47,698",14,493,316,118,"Action, Adventure, Drama, Fantasy, Thriller",English,UK,16 March 2018 (USA),GK Films,Color,"Lara Croft is the fiercely independent daughter of an eccentric adventurer who vanished when she was scarcely a teen. Now a young woman of 21 without any real focus or purpose, Lara navigates the chaotic streets of trendy East London as a bike courier, barely making the rent, and takes college courses, rarely making it to class. Determined to forge her own path, she refuses to take the reins of her father's global empire just as staunchly as she rejects the idea that he's truly gone. Advised to face the facts and move forward after seven years without him, even Lara can't understand what drives her to finally solve the puzzle of his mysterious death. Going explicitly against his final wishes, she leaves everything she knows behind in search of her dad's last-known destination: a fabled tomb on a mythical island that might be somewhere off the coast of Japan. But her mission will not be an easy one; just reaching the island will be extremely treacherous. Suddenly, the stakes couldn't ...","https://ia.media-imdb.com/images/M/MV5BOTY4NDcyZGQtYmVlNy00ODgwLTljYTMtYzQ2OTE3NDhjODMwXkEyXkFqcGdeQXVyNzYzODM3Mzg@._V1_UX182_CR0,0,182,268_AL_.jpg",Roar Uthaug,"Alicia Vikander,Dominic West,Walton Goggins,Daniel Wu,Kristin Scott Thomas,Derek Jacobi,Alexandre Willaume,Tamer Burjaq,Adrian Collins,Keenan Arrison,Andrian Mazive,Milton Schorr,Hannah John-Kamen,Peter Waison,Samuel Mak","$94,000,000","$23,633,317","$56,340,244,","$268,471,570,"
Legion            ,,TV-MA,8.4,"59,298",19,240,34,60,"Action, Drama, Sci-Fi, Thriller",English,USA,8 February 2017 (USA),20th Century Fox Television,Color,"Legion, based on the Marvel Comics by Chris Claremont and Bill Sienkiewicz, is the story of David Haller (Dan Stevens), a troubled young man who may be more than human. Diagnosed as schizophrenic as a child, David has been in and out of psychiatric hospitals for years. Now in his early 20's and free once again, David loses himself in the rhythm of the structured regimen of daily life: breakfast, lunch, dinner, therapy, medications, sleep. David spends the rest of his time in companionable silence alongside his chatterbox friend Lenny (Aubrey Plaza), a fellow patient whose life-long drug and alcohol addiction has done nothing to quell her boundless optimism that her luck is about to change. The pleasant numbness of David's routine is completely upended with the arrival of a beautiful and troubled new patient named Syd (Rachel Keller). Inexplicably drawn to one another, David and Syd share a startling encounter, after which David must confront the shocking possibility that the voices he...","https://ia.media-imdb.com/images/M/MV5BMjQyOTQ3Njc5M15BMl5BanBnXkFtZTgwMzgyNjAxNTM@._V1_UY268_CR1,0,182,268_AL_.jpg",Noah Hawley,"Dan Stevens,Rachel Keller,Aubrey Plaza,Amber Midthunder,Bill Irwin,Jeremie Harris,Jean Smart,Katie Aselton,Jemaine Clement,Mackenzie Gray,Quinton Boisclair,Jelly Howie,Brittney Parker Rose,Lexa Gluck",,,,
Jumanji: Welcome to the Jungle,2017,PG-13,7.0,"144,822",12,480,269,119,"Action, Adventure, Comedy, Fantasy",English,USA,20 December 2017 (USA),Matt Tolmach Productions,Color,"In a brand new Jumanji adventure, four high school kids discover an old video game console and are drawn into the game's jungle setting, literally becoming the adult avatars they chose. What they discover is that you don't just play Jumanji - you must survive it. To beat the game and return to the real world, they'll have to go on the most dangerous adventure of their lives, discover what Alan Parrish left 20 years ago, and change the way they think about themselves - or they'll be stuck in the game forever, to be played by others without break.","https://ia.media-imdb.com/images/M/MV5BODQ0NDhjYWItYTMxZi00NTk2LWIzNDEtOWZiYWYxZjc2MTgxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",Jake Kasdan,"Dwayne Johnson,Kevin Hart,Jack Black,Karen Gillan,Rhys Darby,Bobby Cannavale,Nick Jonas,Alex Wolff,Ser'Darius Blain,Madison Iseman,Morgan Turner,Sean Buxton,Mason Guccione,Marin Hinkle,Tracey Bonner","$90,000,000","$36,169,328","$403,951,484,","$954,577,236,"
Legends of Tomorrow            ,,TV-14,7.0,"68,346",16,214,47,42,"Action, Adventure, Drama, Sci-Fi",English,USA,21 January 2016 (USA),Berlanti Productions,Color,"When heroes alone are not enough... the world needs legends. Having seen the future, Rip Hunter will desperately try to prevent certain events from happening, by time-traveling; Now Rip Hunter is tasked with assembling a desperate group of heroes and villains to confront an unstoppable threat - not only is the planet at stake, but our timeline itself. The Great Question being asked here is can this ragtag team defeat an immortal threat unlike anything they have ever known?","https://ia.media-imdb.com/images/M/MV5BODVjYzliMTQtODk0My00MmUxLTkwMzMtMWJjMGQzZmU5MzAwXkEyXkFqcGdeQXVyNTc4MjczMTM@._V1_UY268_CR16,0,182,268_AL_.jpg",Greg Berlanti,"Brandon Routh,Caity Lotz,Amy Louise Pemberton,Dominic Purcell,Franz Drameh,Victor Garber,Maisie Richardson-Sellers,Nick Zano,Arthur Darvill,Wentworth Miller",,,,
Up,2009,PG,8.3,"779,406",514,743,421,96,"Animation, Adventure, Comedy, Family",English,USA,29 May 2009 (USA),Pixar Animation Studios,Color,Carl Fredricksen as a boy wanted to explore South America and find the forbidden Paradise Falls. About 64 years later he gets to begin his journey along with a Boy Scout named Russel by lifting his house with thousands of balloons. On their journey they make many new friends including a talking dog and figure out that someone has evil plans. Carl soon realizes that this evildoer is his childhood idol. Will they be able to defeat him and find Paradise Falls?,"https://ia.media-imdb.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1_UX182_CR0,0,182,268_AL_.jpg",Pete Docter,"Edward Asner,Christopher Plummer,Jordan Nagai,Bob Peterson,Delroy Lindo,Jerome Ranft,John Ratzenberger,David Kaye,Elie Docter,Jeremy Leary,Mickie McGowan,Danny Mann,Donald Fullilove,Jess Harnell,Josh Cooley","$175,000,000","$68,108,790","$293,004,164,","$731,342,744,"
