title,url,url2
Kiss Me Deadly (1955),/en/subtitles/en-kiss-me-deadly-1955/m2oJ/download,/en/subtitles/en-kiss-me-deadly-1955/m2oJ/download
"Lady from Shanghai, The (1947)",/en/subtitles/en-lady-from-shanghai-the-1947/kTI/download,/en/subtitles/en-lady-from-shanghai-the-1947/kTI/download
"Killers, The (1946)",/en/subtitles/en-killers-the-1946/tWsE/download,/en/subtitles/en-killers-the-1946/tWsE/download
"Asphalt Jungle, The (1950)",/en/subtitles/en-asphalt-jungle-the-1950/tlEB/download,/en/subtitles/en-asphalt-jungle-the-1950/tlEB/download
The Death of Stalin (2017),/en/subtitles/en-the-death-of-stalin-2017/jj9F/download,/en/subtitles/en-the-death-of-stalin-2017/jj9F/download
Doctor Strange (2016),/en/subtitles/en-doctor-strange-2016/cSVD/download,/en/subtitles/en-doctor-strange-2016/qyJD/download
Suicide Squad (2016),/en/subtitles/en-suicide-squad-2016/AENC/download,/en/subtitles/en-suicide-squad-2016/fj1C/download
,,
Wildling (2018),/en/subtitles/en-wildling-2018/-mZF/download,/en/subtitles/en-wildling-2018/-mZF/download
I Kill Giants (2017),/en/subtitles/en-i-kill-giants-2017/-lZF/download,/en/subtitles/en-i-kill-giants-2017/-lZF/download
Mildred Pierce (1945),/en/subtitles/en-mildred-pierce-1945/Ybwm/download,/en/subtitles/en-mildred-pierce-1945/yzI/download
Out of the Past (1947),/en/subtitles/en-out-of-the-past-1947/Ew0C/download,/en/subtitles/en-out-of-the-past-1947/Ew0C/download
Leave Her to Heaven (1945),/en/subtitles/en-leave-her-to-heaven-1945/bMEI/download,/en/subtitles/en-leave-her-to-heaven-1945/bMEI/download
"Lineup, The (1958)",/en/subtitles/en-lineup-the-1958/wTYH/download,/en/subtitles/en-lineup-the-1958/wTYH/download
Scarface (1932),/en/subtitles/en-scarface-1932/EscH/download,/en/subtitles/en-scarface-1932/EscH/download
Notorious (1946),/en/subtitles/en-notorious-1946/wQ8X/download,/en/subtitles/en-notorious-1946/wQ8X/download
"Big Sleep, The (1946)",,/en/subtitles/en-big-sleep-the-1946/x-8B/download
,,
Strangers on a Train (1951),/en/subtitles/en-strangers-on-a-train-1951/Pukj/download,/en/subtitles/en-strangers-on-a-train-1951/Pukj/download
The Killing (1956),/en/subtitles/en-the-killing-1956/0YoT/download,/en/subtitles/en-the-killing-1956/0YoT/download
Touch of Evil (1958),/en/subtitles/en-touch-of-evil-1958/HtAU/download,/en/subtitles/en-touch-of-evil-1958/HtAU/download
The Maltese Falcon (1941),/en/subtitles/en-the-maltese-falcon-1941/R4Yx/download,/en/subtitles/en-the-maltese-falcon-1941/R4Yx/download
Double Indemnity (1944),/en/subtitles/en-double-indemnity-1944/ECo2/download,/en/subtitles/en-double-indemnity-1944/ECo2/download
Dial M for Murder (1954),/en/subtitles/en-dial-m-for-murder-1954/W8kh/download,/en/subtitles/en-dial-m-for-murder-1954/QVIB/download
,,
The Night of the Hunter (1955),/en/subtitles/en-the-night-of-the-hunter-1955/Sh4P/download,/en/subtitles/en-the-night-of-the-hunter-1955/Sh4P/download
In a Lonely Place (1950),/en/subtitles/en-in-a-lonely-place-1950/uK4/download,/en/subtitles/en-in-a-lonely-place-1950/uK4/download
"Third Man, The (1949)",/en/subtitles/en-third-man-the-1949/MXUI/download,/en/subtitles/en-third-man-the-1949/MXUI/download
,,
Gaslight (1944),/en/subtitles/en-gaslight-1944/rgEl/download,/en/subtitles/en-gaslight-1944/kWUB/download
Undercurrent (1946),/en/subtitles/en-undercurrent-1946/eW0D/download,/en/subtitles/en-undercurrent-1946/eW0D/download
Suddenly (1954),/en/subtitles/en-suddenly-1954/tE0G/download,/en/subtitles/en-suddenly-1954/tE0G/download
The Jungle Book (2016),/en/subtitles/en-the-jungle-book-2016/10lB/download,/en/subtitles/en-the-jungle-book-2016/kEhB/download
Maleficent (2014),/en/subtitles/en-maleficent-2014/8s41/download,/en/subtitles/en-maleficent-2014/AfUw/download
,,
,,
,,
The Danish Girl (2015),/en/subtitles/en-the-danish-girl-2015/ZHM_/download,/en/subtitles/en-the-danish-girl-2015/ZHM_/download
Into the Wild (2007),/en/subtitles/en-into-the-wild-2007/XVYI/download,/en/subtitles/en-into-the-wild-2007/CQoE/download
The Sound of Music (1965),/en/subtitles/en-the-sound-of-music-1965/HWg5/download,/en/subtitles/en-the-sound-of-music-1965/HWg5/download
The Imitation Game (2014),/en/subtitles/en-the-imitation-game-2014/8_s6/download,/en/subtitles/en-the-imitation-game-2014/LR05/download
Professor Marston and the Wonder Women (2017),/en/subtitles/en-professor-marston-and-the-wonder-women-2017/WyRF/download,/en/subtitles/en-professor-marston-and-the-wonder-women-2017/WyRF/download
Jumanji: Welcome to the Jungle (2017),/en/subtitles/en-jumanji-welcome-to-the-jungle-2017/_khF/download,/en/subtitles/en-jumanji-welcome-to-the-jungle-2017/_khF/download
Catch Me If You Can (2002),/en/subtitles/en-catch-me-if-you-can-2002/FCE7/download,/en/subtitles/en-catch-me-if-you-can-2002/FCE7/download
The Lost City of Z (2016),/en/subtitles/en-the-lost-city-of-z-2016/bohE/download,/en/subtitles/en-the-lost-city-of-z-2016/bohE/download
The Big Short (2015),/en/subtitles/en-the-big-short-2015/M6BA/download,/en/subtitles/en-the-big-short-2015/2QA_/download
Battle of the Sexes (2017),/en/subtitles/en-battle-of-the-sexes-2017/3RdF/download,/en/subtitles/en-battle-of-the-sexes-2017/3RdF/download
The Theory of Everything (2014),/en/subtitles/en-the-theory-of-everything-2014/nQo6/download,/en/subtitles/en-the-theory-of-everything-2014/3H04/download
Hidden Figures (2016),/en/subtitles/en-hidden-figures-2016/lI9D/download,/en/subtitles/en-hidden-figures-2016/kY9D/download
Despicable Me (2010),/en/subtitles/en-despicable-me-2010/HCUP/download,/en/subtitles/en-despicable-me-2010/RSY9/download
Finding Nemo (2003),/en/subtitles/en-finding-nemo-2003/s0QQ/download,/en/subtitles/en-finding-nemo-2003/s0QQ/download
,,
Mulan (1998),/en/subtitles/en-mulan-1998/HdUW/download,/en/subtitles/en-mulan-1998/HdUW/download
Toy Story (1995),/en/subtitles/en-toy-story-1995/J74R/download,/en/subtitles/en-toy-story-1995/J74R/download
Sen to Chihiro no kamikakushi (2001),/en/subtitles/en-sen-to-chihiro-no-kamikakushi-2001/K4o1/download,/en/subtitles/en-sen-to-chihiro-no-kamikakushi-2001/K4o1/download
"Fantastic Mr. Fox, The (2009)",/en/subtitles/en-fantastic-mr-fox-the-2009/mwMK/download,/en/subtitles/en-fantastic-mr-fox-the-2009/mwMK/download
Trolls (2016),/en/subtitles/en-trolls-2016/ud1C/download,/en/subtitles/en-trolls-2016/Sn1C/download
Inside Out (2015),/en/subtitles/en-inside-out-2015/RzQ-/download,/en/subtitles/en-inside-out-2015/Vz0-/download
Sunset Blvd. (1950),/en/subtitles/en-sunset-blvd-1950/5yUg/download,/en/subtitles/en-sunset-blvd-1950/5yUg/download
Wonderstruck (2017),/en/subtitles/en-wonderstruck-2017/NFFF/download,/en/subtitles/en-wonderstruck-2017/NFFF/download
The Goonies (1985),/en/subtitles/en-the-goonies-1985/6NYE/download,/en/subtitles/en-the-goonies-1985/6NYE/download
Fantastic Beasts and Where to Find Them (2016),/en/subtitles/en-fantastic-beasts-and-where-to-find-them-2016/ujxD/download,/en/subtitles/en-fantastic-beasts-and-where-to-find-them-2016/ojpD/download
"Princess Bride, The (1987)",/en/subtitles/en-princess-bride-the-1987/mgsI/download,/en/subtitles/en-princess-bride-the-1987/mgsI/download
Cinderella (2015),/en/subtitles/en-cinderella-2015/OgA9/download,/en/subtitles/en-cinderella-2015/6_s7/download
The Flintstones (1994),/en/subtitles/en-the-flintstones-1994/EXQ3/download,/en/subtitles/en-the-flintstones-1994/EXQ3/download
Jumanji (1995),/en/subtitles/en-jumanji-1995/7NsS/download,/en/subtitles/en-jumanji-1995/7NsS/download
,,
Harry Potter and the Sorcerer's Stone (2001),/en/subtitles/en-harry-potter-and-the-sorcerer%27s-stone-2001/aqUs/download,/en/subtitles/en-harry-potter-and-the-sorcerer%27s-stone-2001/aqUs/download
Beauty and the Beast (2017),/en/subtitles/en-beauty-and-the-beast-2017/XSRE/download,/en/subtitles/en-beauty-and-the-beast-2017/_y1E/download
Lemony Snicket's A Series of Unfortunate Events (2004),/en/subtitles/en-lemony-snicket%27s-a-series-of-unfortunate-events-2004/e-wZ/download,/en/subtitles/en-lemony-snicket%27s-a-series-of-unfortunate-events-2004/e-wZ/download
,,
Lost in Space (1998),/en/subtitles/en-lost-in-space-1998/zTkI/download,/en/subtitles/en-lost-in-space-1998/zTkI/download
Wonder Woman (2017),/en/subtitles/en-wonder-woman-2017/7MJE/download,/en/subtitles/en-wonder-woman-2017/7MJE/download
